State,Count
 Alabama,46
 Alaska,13
 Arizona,80
 Arkansas,29
 British Columbia,1
 Bronx,1
 Brooklyn,1
 California,868
 Colorado,118
 Connecticut,98
 Delaware,16
 District Of Columbia,134
 Florida,281
 Georgia,165
 Hawaii,21
 Idaho,15
 Illinois,204
 Indiana,129
 Iowa,45
 Kansas,33
 Kentucky,62
 London,1
 Louisiana,41
 Maine,22
 Maryland,99
 Massachusetts,161
 Michigan,88
 Minnesota,89
 Mississippi,18
 Missouri,80
 Montana,23
 Nebraska,26
 Nevada,42
 New Hampshire,34
 New Jersey,105
 New Mexico,30
 New York,445
 Noord Holland,1
 North Carolina,140
 North Dakota,4
 O'ahu,1
 Ohio,179
 Oklahoma,43
 Oregon,79
 Pennsylvania,166
 Puerto Rico,7
 Quebec,3
 Rhode Island,27
 South Carolina,46
 South Dakota,6
 Tennessee,94
 Texas,343
 Utah,45
 Vermont,26
 Virginia,136
 Washington,127
 West Virginia,16
 Wisconsin,70
 Wyoming,5
N/a,52
