State,Total Records
 Alabama,1689317
 Alaska,40157
 Arizona,42911806
 Arkansas,981695
 British Columbia,0
 Bronx,0
 Brooklyn,0
 California,57778965
 Colorado,4984395
 Connecticut,3268554
 Delaware,4276319
 District Of Columbia,133535906
 Florida,17260926
 Georgia,82059039
 Hawaii,449628
 Idaho,135400
 Illinois,9546182
 Indiana,85969414
 Iowa,637796
 Kansas,53184
 Kentucky,241840
 London,0
 Louisiana,196721
 Maine,4228462
 Maryland,2509142
 Massachusetts,103246415
 Michigan,336321
 Minnesota,44419540
 Mississippi,33650
 Missouri,7517607
 Montana,240719
 Nebraska,7692974
 Nevada,684350
 New Hampshire,413215
 New Jersey,132485807
 New Mexico,67300
 New York,36761986
 Noord Holland,106
 North Carolina,2317076
 North Dakota,375334
 O'ahu,1892
 Ohio,6151353
 Oklahoma,1629151
 Oregon,1417147
 Pennsylvania,15063640
 Puerto Rico,1691
 Quebec,0
 Rhode Island,128321
 South Carolina,7128959
 South Dakota,1196
 Tennessee,6090995
 Texas,20547528
 Utah,1752514
 Vermont,132329
 Virginia,3245504
 Washington,47282027
 West Virginia,276504
 Wisconsin,1014064
 Wyoming,15325
N/a,5336206
